Organisation name,Identifying details,Total scope 1 emissions (t CO2-e),Total scope 2 emissions (t CO2-e),Net energy consumed (GJ),Sector
AGL ENERGY LIMITED,74 115 061 375,"39,512,681","538,965","305,460,679",Energy
STANWELL CORPORATION LIMITED,37 078 848 674,"17,277,604","59,566","127,676,405",Other
ENERGYAUSTRALIA HOLDINGS LIMITED,57 101 876 135,"16,171,052","196,589","130,959,326",Other
ORIGIN ENERGY LIMITED,30 000 051 696,"12,836,172","2,350,222","115,507,100",Energy
CHEVRON AUSTRALIA HOLDINGS PTY LTD,60 098 079 344,"12,310,111","2,329","148,543,549",Other
PIONEER SAIL HOLDINGS PTY LIMITED,45 617 844 569,"11,212,694","9,999","93,986,086",Other
C S ENERGY LIMITED,54 078 848 745,"11,070,449","45,936","79,227,439",Energy
WOODSIDE ENERGY GROUP LTD,55 004 898 962,"8,985,579","6,262","152,078,745",Energy
OZGEN HOLDINGS AUSTRALIA PTY LTD,34 128 655 096,"7,576,234","10,197","54,933,130",Other
RIO TINTO LIMITED,96 004 458 404,"7,405,060","7,690,487","144,608,226",Other
SANTOS LIMITED,80 007 550 923,"7,283,147","608,133","91,837,444",Other
INPEX HOLDINGS AUSTRALIA PTY LTD,61 150 217 315,"6,739,077",763,"74,355,589",Other
BLUESCOPE STEEL LIMITED,16 000 011 058,"6,390,444","939,847","75,814,276",Other
DELTA ELECTRICITY PTY LTD,66 620 205 263,"6,356,146","79,485","42,180,734",Other
ELECTRICITY GENERATION AND RETAIL CORPORATION,58 673 830 106,"5,842,608","5,796","47,700,312",Other
NRG VICTORIA I PTY LTD,26 076 286 578,"5,827,328","51,559","43,943,648",Energy
ALCOA AUSTRALIAN HOLDINGS PTY LTD,33 096 987 370,"5,763,627","3,674,170","117,771,313",Other
SOUTH32 LIMITED,84 093 732 597,"5,694,783","397,190","55,136,759",Other
GLENCORE HOLDINGS PTY LIMITED,41 104 160 689,"5,474,784","1,613,561","54,948,299",Other
ANGLO AMERICAN AUSTRALIA LIMITED,47 004 892 371,"5,104,173","632,574","17,094,981",Other
LIBERTY PRIMARY METALS AUSTRALIA PTY LTD,29 631 112 573,"3,228,647","236,059","32,141,635",Other
BM ALLIANCE COAL OPERATIONS PTY LIMITED,67 096 412 752,"3,200,636","986,104","32,546,019",Other
RTA HOLDCO AUSTRALIA 5 PTY LTD,38 128 785 599,"3,129,823","619,774","41,883,170",Other
QANTAS AIRWAYS LIMITED,16 009 661 901,"3,057,585","64,843","45,232,379",Other
BHP GROUP LIMITED,49 004 028 077,"2,815,191","1,131,506","51,287,332",Other
CEMENT AUSTRALIA HOLDINGS PTY LTD,99 001 085 561,"2,673,772","217,936","14,012,375",Other
YANCOAL AUSTRALIA LTD,82 111 859 119,"2,624,669","414,983","15,957,203",Other
CONOCOPHILLIPS AUSTRALIA OPERATIONS PTY LTD,28 141 253 787,"2,132,240",280,"41,945,627",Other
SHELL ENERGY HOLDINGS AUSTRALIA LIMITED,69 054 260 776,"2,050,594","6,929","26,675,311",Other
ADBRI LIMITED,15 007 596 018,"1,922,718","183,268","13,523,765",Other
FORTESCUE METALS GROUP LTD,57 002 594 872,"1,876,874","333,091","30,468,510",Other
EXXONMOBIL AUSTRALIA PTY LTD,48 091 561 198,"1,857,397","70,605","22,447,531",Other
QGC MIDSTREAM INVESTMENTS PTY LTD,77 130 857 215,"1,846,755",0,"34,040,346",Other
BANPU AUSTRALIA CO. PTY LTD,56 136 468 007,"1,835,658","238,951","2,181,697",Other
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,14 613 690 243,"1,556,439","330,041","20,784,464",Other
APA INFRASTRUCTURE LIMITED,89 009 666 700,"1,492,975","92,691","17,484,625",Other
INCITEC PIVOT LIMITED,42 004 080 264,"1,480,985","152,639","29,684,693",Other
ORICA LIMITED,24 004 145 868,"1,464,880","156,950","18,878,282",Other
YARA AUSTRALIA PTY LTD,77 076 301 221,"1,408,764","10,696","27,969,709",Other
PEABODY AUSTRALIA HOLDCO PTY LTD,61 154 820 130,"1,403,433","168,624","6,893,951",Other
SEVEN GROUP HOLDINGS LIMITED,46 142 003 469,"1,357,247","315,438","10,337,829",Other
VIRGIN AUSTRALIA HOLDINGS LIMITED,54 100 686 226,"1,284,605","2,831","18,311,801",Other
CITIC PACIFIC MINING MANAGEMENT PTY LTD,64 119 578 371,"1,241,468",169,"22,867,778",Other
KESTREL COAL GROUP PTY LTD,70 624 655 518,"1,236,654","148,269","2,087,653",Other
BLUEWATERS POWER 1 PTY LTD,93 106 034 879,"1,190,420","1,529","9,751,680",Other
PECHINEY CONSOLIDATED AUSTRALIA PTY LIMITED,39 076 569 769,"1,156,673","6,604,275","40,144,663",Other
BLUEWATERS POWER 2 PTY LTD,57 122 896 968,"1,124,051","1,859","9,383,425",Other
VIVA ENERGY GROUP LIMITED,74 626 661 032,"1,095,453","283,035","12,345,629",Other
CLEANAWAY WASTE MANAGEMENT LIMITED,74 101 155 220,"1,062,303","50,310","5,024,451",Other
FITZROY (CQ) PTY LTD,61 103 902 389,"1,000,552","66,117","1,438,532",Other
QGC UPSTREAM INVESTMENTS PTY LTD,86 131 104 651,"955,249","2,460,603","23,927,673",Other
WHITEHAVEN COAL LIMITED,68 124 425 396,"910,333","102,011","6,107,665",Other
POWER GENERATION CORPORATION,72 687 980 755,"898,814",130,"12,282,312",Other
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,40 062 135 844,"882,132",29,"11,542,754",Energy
AUSTRALIAN LOGISTICS ACQUISITION HOLDINGS PTY LIMITED,28 611 628 909,"871,855","85,593","12,820,862",Other
INTERNATIONAL POWER (AUSTRALIA) HOLDINGS PTY LIMITED,70 105 041 209,"861,906","6,043","9,571,504",Other
CORONADO AUSTRALIA HOLDINGS PTY LTD,23 623 524 989,"861,227","174,694","5,885,300",Other
SGSP (AUSTRALIA) ASSETS PTY LTD,60 126 327 624,"827,674","254,080","8,425,369",Other
WASHINGTON H. SOUL PATTINSON AND COMPANY LIMITED,49 000 002 728,"806,621","74,716","4,014,098",Other
WESFARMERS LIMITED,28 008 984 049,"792,380","583,851","17,549,260",Other
QENOS HOLDINGS PTY LTD,62 086 026 968,"790,078","158,498","30,151,686",Other
VEOLIA RECYCLING & RECOVERY HOLDINGS ANZ PTY LTD,30 070 452 890,"785,509","21,921","1,944,501",Other
NEWGEN KWINANA HOLDINGS PTY LTD,68 116 576 955,"760,427",643,"8,264,618",Other
AMPOL LIMITED,40 004 201 307,"727,358","248,594","11,502,904",Other
MACH AUSTRALIA HOLDINGS PTY LTD,66 608 494 828,"716,841","34,289","1,658,253",Other
PRATT CONSOLIDATED HOLDINGS PTY. LTD.,43 104 958 581,"711,074","998,825","27,277,899",Other
QCOAL PTY LTD,99 010 911 234,"675,091","79,563","5,225,673",Other
COMGEN AUSTRALIA PTY. LTD.,17 050 242 441,"643,722","17,954","1,802,943",Other
HANCOCK PROSPECTING PTY LIMITED,69 008 676 417,"636,620","246,308","10,904,171",Other
NORTHERN STAR RESOURCES LTD,43 092 832 892,"635,249","322,985","12,210,544",Other
STANMORE RESOURCES LIMITED,27 131 920 968,"582,483","114,865","34,257,242",Other
NEWCREST MINING LIMITED,20 005 683 625,"569,190","830,125","13,835,018",Other
TRONOX MANAGEMENT PTY LTD,59 009 343 364,"560,694","96,572","10,304,988",Other
ARROW ENERGY HOLDINGS PTY LTD,94 141 385 293,"540,076","32,286","7,854,871",Other
IDEMITSU AUSTRALIA PTY LTD,45 010 236 272,"508,250","84,373","3,945,828",Other
AURIZON HOLDINGS LIMITED,14 146 335 622,"506,747","328,042","8,686,786",Other
BHP ENERGY COAL AUSTRALIA PTY LTD,79 057 364 315,"503,405","79,627","7,067,196",Other
ANGLOGOLD ASHANTI AUSTRALIA LIMITED,42 008 737 424,"485,306",129,"8,405,472",Other
NYRSTAR AUSTRALIA PTY LTD,46 124 535 468,"451,927","227,864","10,426,137",Other
PAPER AUSTRALIA PTY LTD,63 061 583 533,"440,101","472,304","19,393,594",Other
BEACH ENERGY LIMITED,20 007 617 969,"435,738","19,471","4,555,104",Other
GOLD FIELDS AUSTRALIA PTY LIMITED,91 098 385 285,"434,857","107,224","8,579,330",Other
QUBE HOLDINGS LIMITED,14 149 723 053,"397,545","23,260","5,801,536",Other
WOOLWORTHS GROUP LIMITED,88 000 014 675,"392,140","1,488,313","8,258,645",Other
NEWMONT AUSTRALIA PTY LTD,95 099 040 507,"387,661","671,678","9,827,769",Other
ILUKA RESOURCES LIMITED,34 008 675 018,"387,533","89,854","6,543,332",Other
SNOWY HYDRO LIMITED,17 090 574 431,"384,942","484,411","7,177,194",Other
CAJOSA PTY LTD,73 002 724 021,"377,909","303,903","6,929,422",Other
HANSON AUSTRALIA (HOLDINGS) PROPRIETARY LIMITED,48 090 994 657,"350,770","63,626","3,717,368",Other
LIBERTY BELL BAY PTY LTD,23 004 456 035,"350,535","124,642","6,107,991",Other
MINERAL RESOURCES LIMITED,33 118 549 910,"337,486","3,027","5,025,728",Other
AUSTRALIAN GAS NETWORKS LIMITED,19 078 551 685,"328,080",601,"1,948,092",Other
ATCO AUSTRALIA PTY LTD,74 091 033 546,"326,553","2,923","3,977,447",Other
BAYBRICK PTY. LTD.,97 067 220 017,"322,446","265,126","4,339,366",Other
REMONDIS AUSTRALIA PTY LTD,95 002 429 781,"305,815","3,639","477,143",Other
MELBOURNE WATER CORPORATION,81 945 386 953,"292,586","229,345","2,080,265",Other
JADESTONE ENERGY HOLDINGS LTD,"Suite 1, 3rd Floor 11 - 12 St James's Square, London, SW1Y 4, UNITED KINGDOM","292,181",39,"4,173,183",Other
CSR LIMITED,90 000 001 276,"275,488","178,597","5,599,079",Other
