postcode, Installations Quantity Total ,SGU Rated Output In kW Total,latitude,longitude
3000,82,2109.576,-37.8152065,144.963937
3002,84,720.069,-37.8161444,144.9804594
3003,118,1677.48,-37.8114504,144.9253974
3004,18,370.96,-37.8301583,144.9804594
3006,38,1186.465,-37.8245483,144.963937
3008,109,1594.805,-37.8170652,144.9419122
3011,1026,6299.184,-37.7960195,144.9006313
3012,1651,10441.392,-37.8146251,144.8456217
3013,1115,5723.072,-37.819811,144.8813738
3015,1285,6299.291,-37.8352097,144.8786231
3016,1231,6570.753,-37.8571449,144.8813738
3018,1390,8484.019,-37.859343,144.8126334
3019,622,3712.78,-37.7903679,144.8566207
3020,3652,21685.042,-37.7791149,144.823628
3021,4304,19841.373,-37.7435941,144.8016402
3022,241,1204.859,-37.7776716,144.7988921
3023,7195,37014.643,-37.7687064,144.7521888
3024,4945,27421.001,-37.8706337,144.5875645
3025,1035,7414.22,-37.8388686,144.8346241
3026,679,13273.455,-37.8294185,144.7796581
3027,1085,5645.615,-37.8614859,144.7439497
3028,2744,12935.403,-37.8760399,144.7796581
3029,19035,115288.694,-37.8282806,144.7082568
3030,14038,78773.164,-37.938058,144.6753231
3031,803,4091.338,-37.790896,144.9198932
3032,1615,8267.791,-37.7773364,144.9006313
3033,1074,5799.817,-37.7343192,144.8566207
3034,797,3965.642,-37.7628247,144.8648709
3036,553,3012.935,-37.6912843,144.8126334
3037,5225,26048.442,-37.6940036,144.7521888
3038,2691,13874.508,-37.7024727,144.7906484
3039,772,4069.323,-37.7675363,144.9198932
3040,1472,8093.41,-37.7493029,144.9006313
3041,816,4739.162,-37.7306079,144.9006313
3042,1152,7476.052,-37.7245197,144.8758725
3043,1591,11396.72,-37.7044206,144.8786231
3044,1673,7956.756,-37.7310813,144.9364069
3045,12,819.835,-37.6679317,144.8401227
3046,2029,9477.055,-37.7044261,144.9336544
3047,1488,9500.38,-37.6763574,144.9336544
3048,1669,9316.304,-37.6539007,144.9226452
3049,850,4556.694,-37.6707522,144.8896264
3051,244,1673.092,-37.7983816,144.9419122
3052,131,1471.199,-37.7862363,144.9474178
3053,153,1413.453,-37.798389,144.9694441
3054,384,1669.289,-37.7843702,144.9694441
3055,773,3433.595,-37.761,144.9419122
3056,1410,7875.587,-37.7666099,144.9584302
3057,545,2694.451,-37.769412,144.9804594
3058,2855,15878.474,-37.7343488,144.9666905
3059,2451,16086.44,-37.6454887,144.8841246
3060,864,4459.625,-37.6969273,144.9666905
3061,844,15527.5,-37.665113,144.955677
3062,71,2791.795,-37.6332889,144.944665
3063,81,654.535,-37.5930751,144.8401227
3064,14394,88440.636,-37.5424079,144.9391595
3065,306,1738.79,-37.7974551,144.9804594
3066,230,1880.952,-37.8009595,144.9873447
3067,245,1830.088,-37.8023601,144.9983623
3068,1087,4961.785,-37.7885749,144.9887218
3070,2122,9535.728,-37.7736132,144.9997396
3071,1304,6817.942,-37.7600493,145.0080039
3072,2408,13622.458,-37.7399362,145.0107588
3073,3495,17064.939,-37.7118644,145.0107588
3074,1794,14603.213,-37.6837819,145.0107588
3075,1818,9264.93,-37.6650543,145.0107588
3076,3630,21482.314,-37.6341341,145.016269
3078,1074,6166.317,-37.7824868,145.0190242
3079,1149,6665.187,-37.7698427,145.0438252
3081,999,6263.519,-37.7417753,145.0438252
3082,2635,12754.859,-37.6649616,145.0658766
3083,2776,14207.266,-37.6987006,145.0548502
3084,1997,10136.553,-37.7436031,145.0769045
3085,1062,5097.467,-37.7248812,145.0769045
3087,727,3538.222,-37.7019248,145.0851764
3088,2357,11886.956,-37.698595,145.1099967
3089,1286,7079.514,-37.6666174,145.1541397
3090,269,2109.573,-37.670486,145.1099967
3091,245,1860.4,-37.6404295,145.1320653
3093,340,2411.882,-37.7393287,145.112755
3094,754,3793.823,-37.7196403,145.1237889
3095,2578,14308.899,-37.7049998,145.1706992
3096,217,1116.06,-37.6683887,145.1872619
3097,226,1516.339,-37.6897828,145.2369693
3099,622,3417.824,-37.5885255,145.2148736
3101,1340,8390.551,-37.803516,145.0328017
3102,459,2455.293,-37.7922797,145.0548502
3103,962,5307.957,-37.8090918,145.0769045
3104,1425,8569.104,-37.7941151,145.0879338
3105,811,4195.604,-37.7660476,145.0879338
3106,1599,8950.267,-37.7537669,145.1486206
3107,1022,5388.433,-37.7641408,145.1099967
3108,1587,8750.605,-37.7865824,145.1210303
3109,2145,11458.697,-37.7883929,145.1541397
3111,1247,7173.912,-37.7901921,145.1872619
3113,992,5658.924,-37.7386037,145.2148736
3114,415,2688.133,-37.7760752,145.2148736
3115,450,2940.992,-37.7347069,145.2590707
3116,1249,7011.101,-37.7373267,145.3088196
3121,1001,5891.279,-37.8203499,144.9997396
3122,746,4601.069,-37.8222114,145.0328017
3123,589,3606.7,-37.8310813,145.0520938
3124,1306,7551.902,-37.8334095,145.0658766
3125,1006,5127.888,-37.8483275,145.1099967
3126,429,2747.6,-37.8245223,145.0741474
3127,1231,6146.937,-37.8259003,145.0989646
3128,1128,6681.541,-37.8333543,145.1210303
3129,1228,6062.049,-37.8052948,145.1210303
3130,2645,13675.552,-37.8258214,145.1541397
3131,1951,11242.533,-37.8239091,145.1762197
3132,1265,6707.982,-37.8219905,145.1983055
3133,2386,12029.345,-37.8500602,145.1983055
3134,2841,17330.617,-37.7900435,145.2424941
3135,1744,9490.89,-37.8218486,145.2535448
3136,4155,21033.201,-37.7983502,145.2811778
3137,1596,9916.523,-37.8253798,145.3198788
3138,2305,10892.837,-37.7822365,145.3309395
3139,1883,11813.229,-37.8251456,145.5579927
3140,1833,10818.139,-37.7643547,145.3475331
3141,348,2105.661,-37.838568,144.9914761
3142,351,2927.736,-37.8432402,145.0190242
3143,299,1852.263,-37.857253,145.0190242
3144,517,3629.468,-37.8535148,145.0355574
3145,1292,6902.274,-37.8763981,145.0548502
3146,1521,8573.74,-37.8577136,145.0548502
3147,1189,6118.788,-37.8675054,145.0906914
3148,628,2916.51,-37.8819831,145.0989646
3149,3127,16338.021,-37.8772869,145.1265477
3150,6012,30870.741,-37.8921876,145.1706992
3151,1072,4856.388,-37.8552869,145.1513801
3152,3718,19555.157,-37.8668518,145.220397
3153,2310,17936.948,-37.8386354,145.2756505
3154,441,2191.723,-37.8534742,145.3198788
3155,2190,10924.023,-37.8610682,145.2867055
3156,4318,22420.332,-37.9368007,145.3032906
3158,589,3071.541,-37.9039829,145.3309395
3159,239,1175.34,-37.9225135,145.3862638
3160,810,4320.813,-37.932935,145.3475331
3161,582,4107.904,-37.8712631,145.0190242
3162,960,5733.6,-37.8932076,145.0217795
3163,1573,7899.104,-37.8950779,145.0548502
3164,21,550.2,-25.274398,133.775136
3165,1936,10076.78,-37.9174873,145.0658766
3166,1508,8737.609,-37.9006677,145.0989646
3167,810,5183.228,-37.9193474,145.0989646
3168,883,7079.965,-37.9211962,145.1320653
3169,1584,9280.689,-37.9454838,145.1210303
3170,1939,12124.072,-37.9267579,145.1762197
3171,1869,11006.19,-37.9473307,145.1541397
3172,2227,12117.701,-37.9772192,145.1320653
3173,3825,22860.851,-38.0042683,145.1706992
3174,2926,14930.003,-37.9641212,145.1762197
3175,4444,44536.664,-38.0191689,145.2148736
3176,1,5.1,-25.274398,133.775136
3177,946,4512.332,-37.9957951,145.2424941
3178,4376,21623.438,-37.9210442,145.2424941
3179,705,5186.933,-37.9042587,145.220397
3180,982,6031.985,-37.8887649,145.250782
3181,440,2456.248,-37.8544481,144.996985
3182,429,2572.575,-37.8595773,144.9777054
3183,512,2636.775,-37.8670566,144.9997396
3184,510,2319.845,-37.878722,144.9859676
3185,599,3209.561,-37.8862009,145.0080039
3186,1328,8696.144,-37.9044002,144.9997396
3187,1244,6799.817,-37.9179439,145.0190242
3188,1218,6517.639,-37.9394031,145.0135139
3189,665,5476.076,-37.9403568,145.0576067
3190,665,3718.103,-37.9487497,145.0410692
3191,740,4386.205,-37.9533967,145.0135139
3192,1738,11143.813,-37.964155,145.0658766
3193,1607,9575.787,-37.9809272,145.0328017
3194,835,5396.187,-37.9786189,145.0741474
3195,3520,24665.388,-38.0005492,145.1044805
3196,2286,11225.474,-38.048116,145.1210303
3197,1254,5587.821,-38.0742262,145.1431018
3198,1786,9201.334,-38.1021858,145.1431018
3199,5215,26468.121,-38.1645944,145.1486206
3200,432,1788.285,-38.1250223,145.162419
3201,2738,17326.277,-38.0975353,145.1706992
3202,244,2071.346,-37.9529597,145.0879338
3204,2022,11152.712,-37.9193526,145.0438252
3205,297,2218.289,-37.8338889,144.963937
3206,425,2156.294,-37.8460268,144.9584302
3207,495,4987.406,-37.8315264,144.9226452
3211,252,1756.665,-37.9368044,144.4561033
3212,2457,12919.397,-38.0110859,144.4561033
3213,570,4283.952,-37.9873525,144.2811537
3214,2456,11348.738,-38.0788809,144.3576473
3215,1983,11948.698,-38.1083132,144.3357845
3216,6408,32227.211,-38.1747227,144.3139277
3217,1788,11713.854,-38.2617284,144.3248554
3218,1187,6549.023,-38.1180538,144.2047333
3219,2187,10432.293,-38.176358,144.3849841
3220,1475,11663.759,-38.155681,144.3521811
3221,479,1871.861,-38.1636337,144.1501922
3222,2726,15202.14,-38.2049453,144.5875645
3223,1815,9279.351,-38.1610488,144.6753231
3224,1940,10363.114,-38.1833957,144.4451578
3225,1107,5647.704,-38.2735587,144.5985292
3226,2696,13580.179,-38.2573292,144.5382417
3227,976,5291.893,-38.2498059,144.4232713
3228,3291,19059.573,-38.3419249,144.2374759
3230,726,3891.591,-38.3850062,144.1501922
3231,442,2349.298,-38.451657,144.0521131
3232,176,1028.128,-38.528668,143.9324048
3233,444,2765.422,-38.7494709,143.6285244
3234,55,389.995,-38.6077436,143.8454596
3235,101,583.725,-38.455233,143.9324048
3236,63,281.125,-38.5115754,143.7043819
3237,44,419.492,-38.6505708,143.4554195
3238,60,313.04,-38.7443167,143.4122052
3239,75,487.6,-38.5619202,143.4122052
3240,401,2385.596,-38.2482932,144.1283863
3241,458,2856.013,-38.260588,143.9541563
3242,174,982.395,-38.3300725,143.8128803
3243,61,347.56,-38.4455968,143.8020236
3249,465,2852.56,-38.36853,143.4338092
3250,1231,6931.288,-38.3313559,143.5852111
3251,71,342.405,-38.1418099,143.6718623
3254,61,377.41,-38.2962142,143.5256956
3260,526,3853.815,-38.1491105,143.1319209
3264,270,2038.41,-38.2273268,142.8955875
3265,375,4336.501,-38.2633053,142.7455935
3266,383,3348.657,-38.3948462,143.1534436
3267,28,230.975,-38.467729,143.0781416
3268,357,3276.185,-38.4984954,142.9385002
3269,106,852.202,-38.6344019,143.1104044
3270,37,201.535,-38.5949819,142.8793838
3271,42,325.465,-37.9185598,143.0029169
3272,252,1589.01,-38.002399,142.8312661
3273,19,120.27,-37.9654484,142.6814062
3274,43,215.13,-37.9386771,142.5105224
3275,48,252.191,-38.2901504,142.4625357
3276,60,476.79,-38.0951382,142.4891909
3277,198,1795.67,-38.4034955,142.6814062
3278,54,391.92,-38.2755738,142.6065939
3279,36,198.59,-38.1923617,142.6279608
3280,2756,16396.876,-38.3603292,142.4678659
3281,271,2080.358,-38.2466034,142.5532048
3282,281,1692.029,-38.2971689,142.3719834
3283,186,1246.182,-38.2179522,142.2337184
3284,447,2803.031,-38.3689713,142.2007574
3285,178,960.528,-38.2498873,141.9822579
3286,73,459.446,-38.0490245,141.9791849
3287,50,277.512,-38.0416972,142.2974988
3289,122,685.752,-37.8854097,142.318772
3292,61,286.22,-38.0625136,141.1198886
3293,49,216.906,-37.7609742,142.5745556
3294,135,874.874,-37.6658132,142.318772
3300,1027,6237.812,-37.783845,142.0003599
3301,146,827.017,-37.7255033,141.8945505
3302,52,294.185,-37.8391588,141.8100218
3303,37,312.915,-37.9603082,141.5570726
3304,421,2391.738,-37.9678788,141.3889736
3305,1730,8963.763,-38.290126,141.4706543
3309,15,85.4,-37.7888212,141.5360368
3310,43,215.535,-37.7322539,141.5781151
3311,236,1211.727,-37.5824909,141.2841298
3312,125,687.525,-37.382002,141.095836
3314,88,509.741,-37.4235761,142.0639245
3315,233,1257.695,-37.4420537,141.7255991
3317,25,169.1,-37.1477475,141.5781151
3318,222,1464.231,-37.0613621,141.3050851
3319,53,292.586,-36.8910613,141.0540674
3321,297,1688.695,-38.1130535,143.9541563
3322,19,90.74,-38.0526438,143.6285244
3323,6,48.72,-38.0061194,143.4986586
3324,107,574.76,-37.8964298,143.3474304
3325,99,690.53,-37.9076784,143.1749726
3328,374,2008.477,-38.022066,144.0630048
3329,35,156.2,-37.9976266,143.88892
3330,28,152.79,-37.9359743,143.7152249
3331,1136,6468.16,-37.9939081,144.1938221
3332,189,1391.899,-37.9633341,144.1065864
3333,146,1101.242,-37.8585983,144.0194472
3334,74,424.691,-37.7625944,144.0630048
3335,2010,12970.458,-37.7304074,144.6528671
3336,2121,14342.265,-37.7215185,144.6625371
3337,4982,25577.143,-37.6095412,144.5875645
3338,4828,27545.146,-37.7810237,144.5437205
3340,3201,17139.334,-37.7356162,144.4123303
3341,281,1415.872,-37.5934691,144.3248554
3342,646,3525.481,-37.6114047,144.215646
3345,266,1453.604,-37.5678296,144.1174856
3350,6038,36622.515,-37.5691087,143.8563224
3351,1492,8247.738,-37.6978029,143.0029169
3352,2810,17548.602,-37.7122033,143.8671868
3353,11,27.84,-25.274398,133.775136
3354,1,4,-25.274398,133.775136
3355,1251,9154.993,-37.5089149,143.7911684
3356,1733,10574.248,-37.5881949,143.8183092
3357,561,3059.623,-37.6521937,143.8943543
3358,201,1386.89,-37.5805158,143.7965958
3360,132,669.625,-37.7370214,143.5202874
3361,106,634.37,-37.7488709,143.3474304
3363,655,3973.854,-37.409312,143.8780526
3364,428,2540.616,-37.3708363,143.9541563
3370,408,2181.14,-37.261355,143.8020236
3371,280,1369.665,-37.2153546,143.6718623
3373,459,2719.292,-37.4528631,143.3474304
3374,87,658.175,-37.1596728,142.8955875
3375,27,257.98,-37.390738,143.1749726
3377,1300,7340.387,-37.2971613,142.9170407
3378,19,159.695,-37.5026752,143.0244018
3379,117,643.195,-37.5195066,142.6172766
3380,784,4816.448,-37.0517769,142.7777088
3381,270,1635.158,-37.1716807,142.5745556
3384,110,593.812,-36.9882754,143.0888943
3385,116,602.405,-36.9066682,142.6600232
3387,68,339.26,-36.8204775,142.8312661
3388,102,529.12,-36.6090828,142.6600232
3390,179,911.722,-36.6209737,142.4891909
3391,32,225.675,-36.0562538,142.4252353
3392,112,534.32,-36.4286658,142.5745556
3393,443,2576.98,-36.2167744,142.4039296
3395,98,478.097,-35.9172982,142.4039296
3396,142,822.96,-35.7360202,142.318772
3400,1886,12079.838,-36.7204107,142.1806128
3401,825,5316.256,-36.9503512,142.2762322
3402,22,75.78,-25.274398,133.775136
3407,67,376.148,-37.2543103,141.8100218
3409,219,1048.23,-36.8127092,141.8100218
3412,58,228.85,-36.6744115,141.4939853
3413,26,155.672,-36.7355842,141.2213044
3414,339,1586.885,-36.314886,142.0639245
3415,3,18.46,-36.3811882,141.3784817
3418,487,2460.151,-36.2520776,141.5991643
3419,158,723.072,-36.3672353,141.2213044
3420,54,297.935,-36.0603124,141.095836
3423,84,410.329,-36.134382,141.9791849
3424,152,951.46,-35.8357024,141.9791849
3427,756,4506.166,-37.6153848,144.6862995
3428,109,899.546,-37.6342319,144.7961441
3429,4718,25793.772,-37.5424727,144.7192376
3430,47,344.69,-37.497542,144.8071366
3431,709,3857.025,-37.4525468,144.6753231
3432,41,273.245,-37.439438,144.7741635
3433,48,298.53,-37.399104,144.7796581
3434,893,4951.705,-37.3550485,144.7192376
3435,559,3283.125,-37.2423687,144.7192376
3437,1606,10513.428,-37.5197014,144.5437205
3438,332,2196.009,-37.4618532,144.620463
3440,265,1410.966,-37.4205517,144.5546793
3441,153,1012.996,-37.3981393,144.5985292
3442,1578,9087.319,-37.3324774,144.5437205
3444,1734,10459.179,-37.1335012,144.5656396
3446,239,1126.757,-37.1840298,144.3576473
3447,142,704.508,-37.1465105,144.3576473
3448,250,1217.757,-37.0470063,144.3685809
3450,1528,6351.655,-37.0636472,144.2265602
3451,1231,6106.01,-37.0991896,144.1938221
3453,478,2604.595,-36.9265571,144.2374759
3458,506,2836.15,-37.459275,144.3685809
3460,524,3015.306,-37.3405241,144.1610974
3461,1039,5360.461,-37.286475,144.1938221
3462,313,1233.197,-37.0911657,144.0630048
3463,694,3232.748,-36.9483008,143.9759139
3464,227,1503.7,-37.0150311,143.8454596
3465,1812,10378.885,-37.0550295,143.6935405
3467,293,1498.976,-37.0638618,143.4554195
3468,80,408.129,-37.1974706,143.4122052
3469,65,393.78,-37.1727781,143.2395973
3472,403,1754.825,-36.8747643,143.6068646
3475,88,404.79,-36.6942531,143.5202874
3477,181,951.568,-36.7208653,143.1749726
3478,500,3040.544,-37.0021242,143.2827118
3480,305,2216.675,-36.3286415,142.9170407
3482,50,511.6,-36.1476587,142.8312661
3483,175,1071.14,-35.9221523,142.8312661
3485,61,311.745,-35.6652195,142.7455935
3487,17,85.87,-35.5546022,142.5959129
3488,18,69.85,-35.4327537,142.4678659
3489,10,141.995,-35.3151716,142.4039296
3490,197,1538.395,-35.3571245,141.5991643
3491,29,159.93,-35.394936,142.1063337
3494,92,1038.822,-34.540636,142.1487691
3496,1083,8337.604,-34.3907124,141.4309582
3498,947,8317.796,-34.2495272,142.159382
3500,4552,34257.933,-34.2151229,142.1169401
3501,459,4007.391,-34.678204,142.318772
3502,53,337.295,-25.274398,133.775136
3505,855,6558.215,-34.189156,141.8100218
3506,3,10.42,-35.1766811,141.3679914
3507,31,150.565,-35.115573,142.0639245
3509,50,244.79,-35.1414078,141.7255991
3512,72,344.235,-35.1673606,141.095836
3515,430,2673.76,-36.8284445,144.0630048
3516,144,880.14,-36.6251143,144.0194472
3517,360,2016.973,-36.515547,143.8671868
3518,305,1487.009,-36.424265,143.6068646
3520,42,170.24,-36.3588489,143.7694626
3521,139,765.482,-37.0989702,144.851121
3522,90,451.977,-37.0314398,144.7631754
3523,963,5142.231,-36.8919051,144.7412036
3525,287,1718.628,-36.2125211,143.4338092
3527,138,783.578,-36.0005012,143.2611514
3529,17,103.54,-35.845391,143.1965079
3530,22,126.085,-35.7166782,143.1534436
3531,26,117.55,-35.6512854,142.9170407
3533,151,1049.655,-35.3404178,142.7884171
3537,208,1456.231,-36.0772722,143.6935405
3540,70,310.1,-35.8651458,143.5202874
3542,32,185.72,-35.6565961,143.4122052
3544,56,345.705,-35.4401221,143.1749726
3546,83,473.7,-35.0979662,142.9599661
3549,503,8164.034,-34.7552395,142.7455935
3550,5059,29702.629,-36.7665875,144.2920769
3551,6273,37704.381,-36.8021738,144.4779988
3552,22,84.815,-25.274398,133.775136
3554,2,6.39,-25.274398,133.775136
3555,2743,14888.807,-36.808032,144.2483931
3556,2060,10089.243,-36.6478425,144.1938221
3557,150,843.609,-36.6546373,144.5437205
3558,200,991.694,-36.4802144,144.5875645
3559,76,603.965,-36.5430106,144.8291259
3561,963,6673.571,-36.3317046,144.6533747
3562,74,726.025,-36.0471946,144.5437205
3563,173,1127.78,-36.2606223,144.4999001
3564,3214,20918.817,-36.1149809,144.6314321
3565,17,169.535,-36.186252,144.5327632
