postcode,Previous Years (2001-2021) - Installation Quantity,Previous Years (2001-2021) - SGU Output Rated Output In kW,Jan 2022 - Installations Quantity,Jan 2022 - SGU Rated Output In kW,Feb 2022 - Installations Quantity,Feb 2022 - SGU Rated Output In kW,Mar 2022 - Installations Quantity,Mar 2022 - SGU Rated Output In kW,Apr 2022 - Installations Quantity,Apr 2022 - SGU Rated Output In kW,May 2022 - Installations Quantity,May 2022 - SGU Rated Output In kW,Jun 2022 - Installations Quantity,Jun 2022 - SGU Rated Output In kW,Jul 2022 - Installations Quantity,Jul 2022 - SGU Rated Output In kW,Aug 2022 - Installations Quantity,Aug 2022 - SGU Rated Output In kW,Sep 2022 - Installations Quantity,Sep 2022 - SGU Rated Output In kW,Oct 2022 - Installations Quantity,Oct 2022 - SGU Rated Output In kW,Nov 2022 - Installations Quantity,Nov 2022 - SGU Rated Output In kW,Dec 2022 - Installations Quantity,Dec 2022 - SGU Rated Output In kW,Jan 2023 - Installations Quantity,Jan 2023 - SGU Rated Output In kW,Feb 2023 - Installations Quantity,Feb 2023 - SGU Rated Output In kW,Mar 2023 - Installations Quantity,Mar 2023 - SGU Rated Output In kW,Apr 2023 - Installations Quantity,Apr 2023 - SGU Rated Output In kW,May 2023 - Installations Quantity,May 2023 - SGU Rated Output In kW,Jun 2023 - Installations Quantity,Jun 2023 - SGU Rated Output In kW, Installations Quantity Total ,SGU Rated Output In kW Total
3000,73,1653.156,0,0,0,0,1,31.24,1,4.07,0,0,0,0,0,0,0,0,0,0,0,0,1,60,3,128.37,0,0,2,193.14,0,0,1,39.6,0,0,0,0,82,2109.576
3002,73,638.314,1,12.58,0,0,0,0,1,5.18,0,0,0,0,0,0,1,10.66,1,5.74,1,4.565,1,4.68,0,0,0,0,0,0,3,19.21,0,0,1,8.5,1,10.64,84,720.069
3003,102,1384.66,0,0,0,0,0,0,0,0,1,7.26,3,18.92,0,0,2,74.88,0,0,1,33.15,1,4.98,3,41.995,0,0,0,0,2,11.635,0,0,3,100,0,0,118,1677.48
3004,17,346.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24.75,0,0,0,0,0,0,18,370.96
3006,31,942.2,0,0,0,0,0,0,0,0,1,3,2,139.49,0,0,0,0,0,0,0,0,0,0,2,74.925,0,0,0,0,1,11.495,1,15.355,0,0,0,0,38,1186.465
3008,99,1438.295,0,0,0,0,2,14.46,0,0,2,10.56,0,0,1,37.72,1,7.02,0,0,0,0,0,0,1,10.25,1,6.63,1,63.22,1,6.65,0,0,0,0,0,0,109,1594.805
3011,889,5244.979,6,37.33,5,24.37,12,73.385,8,54.84,7,34.105,7,33.94,7,52.495,10,94.465,7,70.435,8,58.555,7,54.27,11,168.94,8,51.125,14,95.68,7,52.79,5,41.725,7,50.895,1,4.86,1026,6299.184
3012,1407,8175.947,13,82.59,16,176.26,18,167.615,16,109.98,22,155.26,9,146.505,8,82.65,18,134.71,11,151.8,11,149.435,14,278.38,17,119.065,12,88.26,12,82.51,17,142.955,12,81.41,13,78.96,5,37.1,1651,10441.392
3013,958,4561.262,3,18.82,11,79.83,7,50.86,11,81.3,7,72.225,10,68.43,7,59.035,12,80.575,9,52.305,7,48.95,16,128.24,16,123.195,2,12.985,9,48.55,9,67.73,6,47.335,11,95.715,4,25.73,1115,5723.072
3015,1116,5008.146,3,19.14,10,69.525,13,71.915,4,17.6,6,65.875,8,37.94,11,92.3,10,71.41,11,158.69,8,59.92,24,176.995,13,104.035,11,90.115,8,54.93,11,75.375,7,48.21,7,46.375,4,30.795,1285,6299.291
